Year,District,Tree Cover (%)
2009,Bikaner,0.18351198172182853
2010,Bikaner,0.5603338635189463
2011,Bikaner,0.5296913212565559
2012,Bikaner,0.24974308946457136
2013,Bikaner,0.36563626940077215
2014,Bikaner,0.19228804305511193
2015,Bikaner,0.41152500406236947
2016,Bikaner,0.2431713192467861
2017,Bikaner,0.34414585333355313
2018,Bikaner,0.2803870380548489
2019,Bikaner,0.2520276371556429
2020,Bikaner,0.30701061483504627
2000,Bundi,3.501454776502953
2001,Bundi,2.525718251245285
2002,Bundi,2.8650695190426028
2003,Bundi,1.9687382612094633
2004,Bundi,2.490420670622914
2005,Bundi,3.96556737871279
2006,Bundi,4.466922449917931
2007,Bundi,3.197634317166361
2008,Bundi,3.8626503954394646
2009,Bundi,3.0322432326616813
2010,Bundi,2.558733723665814
2011,Bundi,1.974005971521755
2012,Bundi,4.383658841494292
2013,Bundi,5.6179359669715145
2014,Bundi,5.225491945621877
2015,Bundi,3.9218256484575407
2016,Bundi,3.415151109094428
2017,Bundi,4.049924887617198
2018,Bundi,3.437200745185969
2019,Bundi,5.272040030724479
2020,Bundi,7.4257536879052575
2000,Chittaurgarh,3.592526293017989
2001,Chittaurgarh,2.839058630964858
2002,Chittaurgarh,4.595700767831523
2003,Chittaurgarh,3.147010923250607
2004,Chittaurgarh,4.36829998488425
2005,Chittaurgarh,5.188405600533087
2006,Chittaurgarh,5.265001342673001
2007,Chittaurgarh,3.9628771384242865
2008,Chittaurgarh,4.771972664746992
2009,Chittaurgarh,4.8527254044311805
2010,Chittaurgarh,3.2956356132159863
2011,Chittaurgarh,2.9134963717119335
2012,Chittaurgarh,5.942156895862814
2013,Chittaurgarh,7.478660626514748
2014,Chittaurgarh,5.923296946382805
2015,Chittaurgarh,4.554269836671579
2016,Chittaurgarh,3.8523546765454473
2017,Chittaurgarh,5.494340982986764
2018,Chittaurgarh,4.498717636376828
2019,Chittaurgarh,6.636954012340286
2020,Chittaurgarh,6.749687534227885
2000,Churu,0.2077567935882663
2001,Churu,0.5839148229728576
2002,Churu,0.08714982176596602
2003,Churu,0.7447697208209092
2004,Churu,0.2504593628167967
2005,Churu,0.12586720259205494
2006,Churu,0.5687360378295534
2007,Churu,0.5950824910946039
2008,Churu,0.8566849554232053
2009,Churu,0.7882980711680052
2010,Churu,1.4953954253138497
2011,Churu,1.1294884318759577
2012,Churu,0.7914143481613262
2013,Churu,1.3173956568554102
2014,Churu,0.7410456850666545
2015,Churu,1.1829372030536252
2016,Churu,0.903691574535573
2017,Churu,1.1265478036214809
2018,Churu,0.7204436316108207
2019,Churu,0.9097354145842425
2020,Churu,0.9636574082831855
2000,Dungarpur,2.2132034392728888
2001,Dungarpur,1.8455876985816808
2002,Dungarpur,3.2748087265260732
2003,Dungarpur,1.8830076114704895
2004,Dungarpur,2.7171173561641813
2005,Dungarpur,3.868484403654028
2006,Dungarpur,3.887955435818686
2007,Dungarpur,2.8870799966428047
2008,Dungarpur,3.318683636206287
2009,Dungarpur,2.920918740366187
2010,Dungarpur,2.547263135094629
2011,Dungarpur,2.247064532611299
2012,Dungarpur,3.527009153118404
2013,Dungarpur,5.127011911155995
2014,Dungarpur,4.44384789993269
2015,Dungarpur,3.9354238782811453
2016,Dungarpur,2.4504037077535834
2017,Dungarpur,3.6739412285963846
