,State,Year,Temperature (°C)
542,Orissa,2014,31.13079630718324
543,Orissa,2015,31.259160307280336
544,Orissa,2016,31.36103175921766
545,Orissa,2017,31.33573169466528
546,Orissa,2018,31.054406197704857
547,Orissa,2019,31.525723510972597
548,Orissa,2020,31.316077006022816
549,Orissa,2021,31.677753339883914
550,Orissa,2022,31.597121643138433
551,Orissa,2023,31.878281467779704
552,Punjab,2000,31.239151638306897
553,Punjab,2001,30.98210477767767
554,Punjab,2002,31.338731647965965
555,Punjab,2003,30.6123471432064
556,Punjab,2004,31.711177945588833
557,Punjab,2005,30.485864176779586
558,Punjab,2006,31.02148129094068
559,Punjab,2007,31.20669255615116
560,Punjab,2008,30.690873012463328
561,Punjab,2009,31.393033736345025
562,Punjab,2010,31.668130443764046
563,Punjab,2011,30.836889740833072
564,Punjab,2012,30.228997923184796
565,Punjab,2013,30.79989230167771
566,Punjab,2014,30.352709928938594
567,Punjab,2015,30.353183925069906
568,Punjab,2016,32.091552282509944
569,Punjab,2017,31.539314165842313
570,Punjab,2018,31.595985330903112
571,Punjab,2019,30.884634412840597
572,Punjab,2020,30.629028461427442
573,Punjab,2021,31.10800863627224
574,Punjab,2022,31.488121787085003
575,Punjab,2023,30.783612321482913
576,Rajasthan,2000,33.6758285995367
577,Rajasthan,2001,33.50150719296367
578,Rajasthan,2002,34.11529863294609
579,Rajasthan,2003,33.30454797592675
580,Rajasthan,2004,34.05096962785006
581,Rajasthan,2005,33.04825063932272
582,Rajasthan,2006,33.627863067521695
583,Rajasthan,2007,33.54944676356084
584,Rajasthan,2008,33.127652944891466
585,Rajasthan,2009,34.05084947240233
586,Rajasthan,2010,34.07115164419314
587,Rajasthan,2011,33.27915557748882
588,Rajasthan,2012,32.81608005379036
589,Rajasthan,2013,33.03091222386228
590,Rajasthan,2014,33.66754202017019
591,Rajasthan,2015,33.245303368376355
592,Rajasthan,2016,33.84003531602262
593,Rajasthan,2017,33.480907553230224
594,Rajasthan,2018,34.08214375560322
595,Rajasthan,2019,33.382046864831
596,Rajasthan,2020,33.1955147951359
597,Rajasthan,2021,33.39233821262587
598,Rajasthan,2022,33.63081564210613
599,Rajasthan,2023,33.04625417076157
600,Sikkim,2000,11.26085759077185
601,Sikkim,2001,12.085804043766615
602,Sikkim,2002,11.64446059456532
603,Sikkim,2003,11.621832984955223
604,Sikkim,2004,11.772950310959722
605,Sikkim,2005,11.794234664911881
606,Sikkim,2006,12.534221181388862
607,Sikkim,2007,12.447571804598594
608,Sikkim,2008,11.686126680601784
609,Sikkim,2009,12.883924221310409
610,Sikkim,2010,12.637502193491779
611,Sikkim,2011,11.717925795463344
612,Sikkim,2012,11.807052785734554
613,Sikkim,2013,11.628609132667545
614,Sikkim,2014,11.62697517483419
615,Sikkim,2015,11.42200788366753
616,Sikkim,2016,11.873528747645231
617,Sikkim,2017,11.701737374519379
618,Sikkim,2018,11.316374867745342
619,Sikkim,2019,12.129609493948536
620,Sikkim,2020,12.227170331088255
621,Sikkim,2021,12.723087404196015
622,Sikkim,2022,12.661183646873642
623,Sikkim,2023,12.612816895047862
624,Tamil Nadu,2000,32.417640029521394
625,Tamil Nadu,2001,32.45997642388078
626,Tamil Nadu,2002,32.67374402215599
627,Tamil Nadu,2003,32.829055455970504
628,Tamil Nadu,2004,32.259973952532036
629,Tamil Nadu,2005,32.44592044152482
630,Tamil Nadu,2006,32.29500548239973
631,Tamil Nadu,2007,32.40917095216572
632,Tamil Nadu,2008,32.287714991679536
633,Tamil Nadu,2009,32.88129621343938
634,Tamil Nadu,2010,32.77809085445849
635,Tamil Nadu,2011,32.57215076199006
636,Tamil Nadu,2012,32.89720991378239
637,Tamil Nadu,2013,32.89496348121946
638,Tamil Nadu,2014,33.08572114976384
639,Tamil Nadu,2015,32.89078276585523
640,Tamil Nadu,2016,33.019193364283446
641,Tamil Nadu,2017,31.930956126861513
642,Tamil Nadu,2018,31.86150673710849
643,Tamil Nadu,2019,33.49635037788553
644,Tamil Nadu,2020,33.10847189336178
645,Tamil Nadu,2021,32.74643819889054
646,Tamil Nadu,2022,32.569290252123224
647,Tamil Nadu,2023,33.01058204141713
648,Tripura,2000,29.17759850607923
649,Tripura,2001,29.913883679078072
650,Tripura,2002,29.46724974387604
651,Tripura,2003,29.439870366053945
652,Tripura,2004,29.580652208086455
653,Tripura,2005,29.73190048478343
654,Tripura,2006,30.262841927714277
655,Tripura,2007,29.836135518924227
656,Tripura,2008,29.37956858249178
657,Tripura,2009,30.72008508554631
658,Tripura,2010,30.36352239526024
659,Tripura,2011,29.806084276068145
660,Tripura,2012,29.43049645582292
661,Tripura,2013,29.314685477998683
662,Tripura,2014,29.342519283828665
663,Tripura,2015,29.202237899837932
664,Tripura,2016,29.510069736178803
665,Tripura,2017,29.350123138245454
666,Tripura,2018,29.22061617004822
667,Tripura,2019,30.27971150597265
668,Tripura,2020,30.044922105799504
669,Tripura,2021,30.546995038332778
670,Tripura,2022,30.340852535852832
671,Tripura,2023,30.552506355668015
672,West Bengal,2000,30.649203037316113
673,West Bengal,2001,31.430005796924757
674,West Bengal,2002,31.191582610699935
675,West Bengal,2003,31.097266444572284
676,West Bengal,2004,31.26216672428971
677,West Bengal,2005,31.230177744812153
678,West Bengal,2006,31.75447047756119
679,West Bengal,2007,31.51109500792206
680,West Bengal,2008,30.95621983443872
681,West Bengal,2009,32.25157041270197
682,West Bengal,2010,31.91099095697634
683,West Bengal,2011,31.13602642977777
684,West Bengal,2012,30.99993526339324
685,West Bengal,2013,30.708295923012106
686,West Bengal,2014,30.676007309195075
