Year,District,Tree Cover (%)
2020,Marigaon,16.71251657153258
2000,Tinsukia,31.969309328721618
2001,Tinsukia,30.862883659625965
2002,Tinsukia,30.652768449802494
2003,Tinsukia,30.21777837476825
2004,Tinsukia,35.78866515740027
2005,Tinsukia,34.48585412539045
2006,Tinsukia,32.33237138587599
2007,Tinsukia,32.891901591725805
2008,Tinsukia,33.05939704900179
2009,Tinsukia,35.43493060919147
2010,Tinsukia,35.44987402569301
2011,Tinsukia,36.38376316643721
2012,Tinsukia,31.821763145915703
2013,Tinsukia,33.27514145874615
2014,Tinsukia,32.55311139281607
2015,Tinsukia,33.67537293245435
2016,Tinsukia,35.63977971053424
2017,Tinsukia,35.46265218591782
2018,Tinsukia,39.16077465104046
2019,Tinsukia,40.25441446433179
2020,Tinsukia,32.67153260500508
